Обозначение,Номинал,Подключение,Назначение,Статус
C_FPGA1,100 нФ X7R,вывод 50 FPGA VCC → GND,развязка ядра,установлен
C_FPGA2,100 нФ X7R,вывод 100 FPGA VCC → GND,развязка ядра,установлен
C_IO30,100 нФ X7R,вывод 5 FPGA VCCIO3 → GND,банк 3,установлен
C_IO31,100 нФ X7R,вывод 11 FPGA VCCIO3 → GND,банк 3,установлен
C_IO32,100 нФ X7R,вывод 23 FPGA VCCIO3 → GND,банк 3,установлен
C_IO20,100 нФ X7R,вывод 26 FPGA VCCIO2 → GND,банк 2,установлен
C_IO21,100 нФ X7R,вывод 46 FPGA VCCIO2 → GND,банк 2,установлен
C_IO10,100 нФ X7R,вывод 55 FPGA VCCIO1 → GND,банк 1,установлен
C_IO11,100 нФ X7R,вывод 73 FPGA VCCIO1 → GND,банк 1,установлен
C_IO00,100 нФ X7R,вывод 80 FPGA VCCIO0 → GND,банк 0,установлен
C_IO01,100 нФ X7R,вывод 93 FPGA VCCIO0 → GND,банк 0,установлен
C_CORE_B1/B2,2 × 10 мкФ X5R/X7R,VCC 3.3 В → GND возле FPGA,накопительный VCC,
C_B0,10 мкФ,VCCIO0 → GND,накопительный банка 0,
C_B1,10 мкФ,VCCIO1 → GND,накопительный банка 1,
C_B2,10 мкФ,VCCIO2 → GND,накопительный банка 2,
C_B3,10 мкФ,VCCIO3 → GND,накопительный банка 3,
R_TCK,4.7 кОм,вывод 91 FPGA TCK → GND,подтяжка вниз по рекомендации Lattice,
R_PROGRAM,4.7 кОм,вывод 81 FPGA PROGRAMN → 3.3 В,устойчивый запуск,
R_INIT,4.7 кОм,вывод 77 FPGA INITN → 3.3 В,подтяжка конфигурации вверх,
R_DONE,4.7 кОм,вывод 76 FPGA DONE → 3.3 В,подтяжка конфигурации вверх,
R_JTAGEN,10 кОм,вывод 82 FPGA JTAGENB → 3.3 В,включение режима JTAG,установлен
C_FRAM,100 нФ,вывод 8 FM28V100 VDD → вывод 24 VSS,развязка питания,
C_FRAM_BULK,1 мкФ,вывод 8 F-RAM → вывод 24,локальный накопительный,желательно
R_FRAM_CE,10 кОм,вывод 30 F-RAM CE1 → 3.3 В,отключение при запуске,
R_FRAM_WE,10 кОм,вывод 5 F-RAM WE → 3.3 В,защита от случайной записи,
R_FRAM_OE,10 кОм DNP,вывод 32 F-RAM OE → 3.3 В,необязательное посадочное место,
—,напрямую,вывод 6 F-RAM CE2 → 3.3 В,CE2 постоянно активен,
C_ROM,100 нФ,вывод 37 MX29 VCC → выводы 27/46 GND,развязка питания,
C_ROM_BULK,1 мкФ,вывод 37 MX29 → GND,локальный накопительный,
R_ROM_CE,10 кОм,вывод 26 MX29 CE# → 3.3 В,Flash отключена при запуске,
R_ROM_WE,10 кОм,вывод 11 MX29 WE# → 3.3 В,запись неактивна,
R_ROM_RST,10 кОм,вывод 12 MX29 RESET# → 3.3 В,обычный режим чтения,
R_ROM_RYBY,10 кОм,вывод 15 MX29 RY/BY# → 3.3 В,подтяжка выхода с открытым стоком,
R_ROM_OE,10 кОм DNP,вывод 28 MX29 OE# → 3.3 В,необязательное посадочное место,
—,напрямую,вывод 47 MX29 BYTE# → GND,выбор режима x8,
—,напрямую,вывод 14 MX29 WP#/ACC → 3.3 В,"обычный режим, ACC отключён",
C_U1_A,100 нФ,вывод 1 U1 VCCA → GND,сторона 3.3 В,установлен
C_U1_B,100 нФ,выводы 23+24 U1 VCCB → GND,сторона 5 В,установлен
C_U2_A,100 нФ,вывод 1 U2 → GND,сторона 3.3 В,установлен
C_U2_B,100 нФ,выводы 23+24 U2 → GND,сторона 5 В,установлен
C_U3_A,100 нФ,вывод 1 U3 → GND,преобразователь данных,установлен
C_U3_B,100 нФ,выводы 23+24 U3 → GND,преобразователь данных,установлен
R_U3_OE,10 кОм,вывод 22 U3 → 3.3 В,высокоимпедансное состояние при запуске,установлен
R_U3_DIR,10 кОм,вывод 2 U3 DIR → GND,по умолчанию Game Boy → FPGA,
C_U4_A,100 нФ,вывод 1 U4 → GND,преобразователь управления,установлен
C_U4_B,100 нФ,выводы 23+24 U4 → GND,преобразователь управления,установлен
—,напрямую,вывод 2 DIR U1/U2/U4 → GND,постоянное направление B→A,установлен
C_5V_BULK,10 мкФ,5V_GB → GND возле преобразователей,общий накопительный 5 В,
C_3V3_BULK,10 мкФ,3V3 → GND возле памяти и преобразователей,общий накопительный 3.3 В,
R_RP_CS,10 кОм,RP2040→FPGA CS# → 3.3 В,SPI неактивен при сбросе,
R_LED_OK,1 кОм,GPIO FPGA → светодиод → GND,необязательный индикатор,
R_LED_ERR,1 кОм,GPIO FPGA → светодиод → GND,необязательный индикатор,
