Ref,Номинал,Подключение,Назначение,Статус,,
C_FPGA1,100 nF X7R,FPGA pin 50 VCC → GND,core decoupling,present,,
C_FPGA2,100 nF X7R,FPGA pin 100 VCC → GND,core decoupling,present,,
C_IO30,100 nF X7R,FPGA pin 5 VCCIO3 → GND,Bank 3,present,,
C_IO31,100 nF X7R,FPGA pin 11 VCCIO3 → GND,Bank 3,present,,
C_IO32,100 nF X7R,FPGA pin 23 VCCIO3 → GND,Bank 3,present,,
C_IO20,100 nF X7R,FPGA pin 26 VCCIO2 → GND,Bank 2,present,,
C_IO21,100 nF X7R,FPGA pin 46 VCCIO2 → GND,Bank 2,present,,
C_IO10,100 nF X7R,FPGA pin 55 VCCIO1 → GND,Bank 1,present,,
C_IO11,100 nF X7R,FPGA pin 73 VCCIO1 → GND,Bank 1,present,,
C_IO00,100 nF X7R,FPGA pin 80 VCCIO0 → GND,Bank 0,present,,
C_IO01,100 nF X7R,FPGA pin 93 VCCIO0 → GND,Bank 0,present,,
C_CORE_B1/B2,2 × 10 µF X5R/X7R,3.3 V VCC → GND возле FPGA,bulk VCC,,,
C_B0,10 µF,VCCIO0 → GND,bulk Bank 0,,,
C_B1,10 µF,VCCIO1 → GND,bulk Bank 1,,,
C_B2,10 µF,VCCIO2 → GND,bulk Bank 2,,,
C_B3,10 µF,VCCIO3 → GND,bulk Bank 3,,,
R_TCK,4.7 kΩ,FPGA pin 91 TCK → GND,рекомендуемый Lattice pull-down,,,
R_PROGRAM,4.7 kΩ,FPGA pin 81 PROGRAMN → 3.3 V,стабильный старт,,,
R_INIT,4.7 kΩ,FPGA pin 77 INITN → 3.3 V,config pull-up,,,
R_DONE,4.7 kΩ,FPGA pin 76 DONE → 3.3 V,config pull-up,,,
R_JTAGEN,10 kΩ,FPGA pin 82 JTAGENB → 3.3 V,держит JTAG mode,present,,
C_FRAM,100 nF,FM28V100 pin 8 VDD → pin 24 VSS,decoupling,,,
C_FRAM_BULK,1 µF,FRAM pin 8 → pin 24,желательно,,,
R_FRAM_CE,10 kΩ,FRAM pin 30 CE1 → 3.3 V,deselect при старте,,,
R_FRAM_WE,10 kΩ,FRAM pin 5 WE → 3.3 V,защита от случайной записи,,,
R_FRAM_OE,10 kΩ DNP,FRAM pin 32 OE → 3.3 V,опциональный footprint,,,
—,direct,FRAM pin 6 CE2 → 3.3 V,CE2 постоянно active,,,
C_ROM,100 nF,MX29 pin 37 VCC → GND pins 27/46,decoupling,,,
C_ROM_BULK,1 µF,MX29 pin 37 → GND,локальный bulk,,,
R_ROM_CE,10 kΩ,MX29 pin 26 CE# → 3.3 V,Flash deselected при старте,,,
R_ROM_WE,10 kΩ,MX29 pin 11 WE# → 3.3 V,write inactive,,,
R_ROM_RST,10 kΩ,MX29 pin 12 RESET# → 3.3 V,Flash остаётся в read mode,,,
R_ROM_RYBY,10 kΩ,MX29 pin 15 RY/BY# → 3.3 V,обязательный pull-up open-drain,,,
R_ROM_OE,10 kΩ DNP,MX29 pin 28 OE# → 3.3 V,опционально,,,
—,direct,MX29 pin 47 BYTE# → GND,выбрать x8,,,
—,direct,MX29 pin 14 WP#/ACC → 3.3 V,"обычный режим, без ACC",,,
C_U1_A,100 nF,U1 pin 1 VCCA → GND,3.3-V side,present,,
C_U1_B,100 nF,U1 pins 23+24 VCCB → GND,5-V side,present,,
C_U2_A,100 nF,U2 pin 1 → GND,3.3 V,present,,
C_U2_B,100 nF,U2 pins 23+24 → GND,5 V,present,,
C_U3_A,100 nF,U3 pin 1 → GND,DATA shifter,present,,
C_U3_B,100 nF,U3 pins 23+24 → GND,DATA shifter,present,,
R_U3_OE,10 kΩ,U3 pin 22 → 3.3 V,DATA Hi-Z при старте,present,,
R_U3_DIR,10 kΩ,U3 pin 2 DIR → GND,default Game Boy → FPGA,,,
C_U4_A,100 nF,U4 pin 1 → GND,control shifter,present,,
C_U4_B,100 nF,U4 pins 23+24 → GND,control shifter,present,,
—,direct,U1/U2/U4 pin 2 DIR → GND,постоянное B→A,present,,
C_5V_BULK,10 µF,5V_GB → GND возле shifters,общий 5-V bulk,,,
C_3V3_BULK,10 µF,3V3 → GND возле memory/shifters,общий 3.3-V bulk,,,
R_RP_CS,10 kΩ,RP2040→FPGA CS# → 3.3 V,SPI inactive при reset,,,
R_LED_OK,1 kΩ,FPGA GPIO → LED → GND,опционально,,,
R_LED_ERR,1 kΩ,FPGA GPIO → LED → GND,опционально,,,
