# Revision 1.41,,,,,,,,,,,,,
# 8-Apr-2015,,,,,,,,,,,,,
# Revision 1.43,Added 32QFN,,,,,,,,,,,,
# 21-Oct-2020,,,,,,,,,,,,,
# Revision 1.44,Added WLCSP36,,,,,,,,,,,,
# 16-Nov-2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,I/O Grouping,TQFP144,CSBGA132,TQFP100,WLCSP25,QFN32,WLCSP36
1,PL2A,3,L_GPLLT_FB,True_OF_PL2B,-,-,+,1,B1,-,-,-,-
2,NC,-,-,-,-,-,+,-,-,-,-,-,-
3,PL2B,3,L_GPLLC_FB,Comp_OF_PL2A,-,-,+,2,B2,-,-,-,-
4,NC,-,-,-,-,-,+,-,-,-,-,-,-
5,PL2C,3,L_GPLLT_IN,True_OF_PL2D,-,-,+,3,C1,1,-,-,C6
6,PL2D,3,L_GPLLC_IN,Comp_OF_PL2C,-,-,+,4,C3,2,-,-,B6
7,NC,-,-,-,-,-,+,-,-,-,-,-,-
8,PL3A,3,PCLKT3_2,True_OF_PL3B,-,-,+,5,C2,3,-,-,-
9,PL3B,3,PCLKC3_2,Comp_OF_PL3A,-,-,+,6,D1,4,-,-,-
10,NC,-,-,-,-,-,+,-,-,-,-,-,-
11,VCCIO3,3,-,-,-,-,+,7,D3,5,-,-,F6
12,GND,-,-,-,-,-,-,8,D2,6,-,-,-
13,NC,-,-,-,-,-,-,-,-,-,-,-,-
14,PL3C,3,-,True_OF_PL3D,-,-,-,9,E1,7,-,-,-
15,PL3D,3,-,Comp_OF_PL3C,-,-,-,10,E2,8,-,-,-
16,NC,-,-,-,-,-,-,-,-,-,-,-,-
17,PL4A,3,-,True_OF_PL4B,-,-,-,11,E3,9,-,-,-
18,PL4B,3,-,Comp_OF_PL4A,-,-,-,12,F2,10,-,-,-
19,PL4C,3,-,True_OF_PL4D,-,-,-,13,F1,-,-,-,-
20,PL4D,3,-,Comp_OF_PL4C,-,-,-,14,F3,-,-,-,-
21,VCCIO3,3,-,-,-,-,-,16,G1,11,-,-,-
22,GND,-,-,-,-,-,+,18,G2,-,-,-,-
23,PL5A,3,PCLKT3_1,True_OF_PL5B,-,-,+,19,G3,12,-,-,-
24,PL5B,3,PCLKC3_1,Comp_OF_PL5A,-,-,+,20,H2,13,-,-,-
25,PL5C,3,-,True_OF_PL5D,-,-,+,21,H1,14,-,-,-
26,PL5D,3,-,Comp_OF_PL5C,-,-,+,22,H3,15,-,-,-
27,PL8A,3,-,True_OF_PL8B,-,-,+,23,J1,16,-,-,-
28,PL8B,3,-,Comp_OF_PL8A,-,-,+,24,J2,17,-,-,-
29,PL8C,3,-,True_OF_PL8D,-,-,+,25,J3,18,-,-,-
30,PL8D,3,-,Comp_OF_PL8C,-,-,+,26,K2,19,-,-,-
31,PL9A,3,PCLKT3_0,True_OF_PL9B,-,-,+,27,K1,20,-,4,D6
32,PL9B,3,PCLKC3_0,Comp_OF_PL9A,-,-,+,28,K3,21,-,5,E6
33,NC,-,-,-,-,-,+,-,-,-,-,-,-
34,GND,-,-,-,-,-,-,29,L2,22,-,-,-
35,VCCIO3,3,-,-,-,-,-,30,L1,23,-,6,-
